FICHIER :;p:\Math Sup\MPSI1\SII\TP_SLCI_2019\Maxpid_slci\Mesures 4.dyn;;;;;;;;;;
Date :;14/05/2019;;;;;;;;;;
Heure :;15:44:47;;;;;;;;;;
;;;;;;;;;;;
SOLLICITATION :;;;;;;;;;;;
MAXPID : Echelon de position de  60.0° (2586 pts), avec KP = 100, KI = 0 et KD = 0, Plan Vertical et 2 masses (1300g).;;;;;;;;;;;
;;;;;;;;;;;
MESURES :;;;;;;;;;;;
Index;Tps;CONSIGNE;POSITION;COMMANDE;COURANT;VIT. AXE;VIT. MOTEUR;;Temps relatif;;Ampli A
;ms;dégrés;degrés;Volts;mA;rad/s;rad/sec;;;;
0;0;0,2;0;0,6;42;0;0;;0;;
1;10;0,2;0;0,6;32;0;0;;0;;
2;29;60,2;0;21,1;3833;0,81;70;;0;;264880
3;53;60,2;0,7;21,1;4666;1,38;183;;24;;261800
4;73;60,2;4,4;21,1;3207;1,92;256;;44;;245520
5;93;60,2;8,8;21,1;2136;2,3;297;;64;;226160
6;113;60,2;13,6;21,1;1530;2,64;320;;84;;205040
7;133;60,2;18,1;21,1;1233;2,88;332;;104;;185240
8;153;60,2;22,8;21,1;1064;3,01;338;;124;;164560
9;172;60,2;27;21,1;975;3,11;343;;143;;146080
10;192;60,2;31,2;21,1;875;3,16;347;;163;;127600
11;212;60,2;35,3;21,1;806;3,21;349;;183;;109560
12;232;60,2;39,2;21,1;796;3,18;350;;203;;92400
13;252;60,2;43,1;21,1;806;3,16;349;;223;;75240
14;272;60,2;46,7;21,1;816;3,15;348;;243;;59400
15;292;60,2;50,2;21,1;816;3,15;348;;263;;44000
16;312;60,2;53,7;20,4;607;2,95;345;;283;;28600
17;331;60,2;57,2;9,5;-1238;2,59;293;;302;;13200
18;351;60,2;59,9;0,9;-3202;2,09;172;;322;;1320
19;371;60,2;61,4;-3,7;-2547;1,65;60;;342;;-5280
20;391;60,2;61,6;-4,5;-1386;1,31;-4;;362;;-6160
21;411;60,2;61,4;-4;-592;1,01;-26;;382;;-5280
22;431;60,2;61,3;-3,3;-146;0,77;-27;;402;;-4840
23;451;60,2;61;-2,4;2;0,6;-22;;422;;-3520
24;471;60,2;60,7;-1,6;52;0,49;-15;;442;;-2200
25;491;60,2;60,5;-0,9;71;0,37;-9;;462;;-1320
26;510;60,2;60,5;-0,9;71;0,31;-4;;481;;-1320
27;530;60,2;60,4;-0,7;52;0,25;0;;501;;-880
28;550;60,2;60,4;-0,7;32;0,22;0;;521;;-880
29;570;60,2;60,4;-0,7;22;0,17;0;;541;;-880
30;590;60,2;60,5;-0,9;32;0,1;0;;561;;-1320
31;610;60,2;60,5;-0,9;32;0,11;0;;581;;-1320
32;630;60,2;60,3;-0,4;32;0,08;0;;601;;-440
33;649;60,2;60,4;-0,7;32;0,07;0;;620;;-880
34;669;60,2;60,4;-0,7;22;0,08;1;;640;;-880
35;689;60,2;60,4;-0,7;22;0,01;0;;660;;-880
36;709;60,2;60,5;-0,9;32;0,03;0;;680;;-1320
37;729;60,2;60,3;-0,4;32;0,04;0;;700;;-440
38;749;60,2;60,3;-0,4;32;0,02;0;;720;;-440
39;769;60,2;60,4;-0,7;32;0,02;0;;740;;-880
40;789;60,2;60,4;-0,7;32;0,02;0;;760;;-880
41;809;60,2;60,4;-0,7;32;0,01;0;;780;;-880
42;828;60,2;60,4;-0,7;42;0,01;0;;799;;-880
43;848;60,2;60,4;-0,7;32;0,01;0;;819;;-880
44;868;60,2;60,4;-0,7;22;0,01;0;;839;;-880
45;888;60,2;60,4;-0,7;32;0,01;0;;859;;-880
46;908;60,2;60,4;-0,7;32;-0,02;0;;879;;-880
47;928;60,2;60,4;-0,7;32;0,01;0;;899;;-880
48;948;60,2;60,3;-0,4;32;0;0;;919;;-440
49;968;60,2;60,4;-0,7;32;0,08;0;;939;;-880
50;987;60,2;60,4;-0,7;32;0;0;;958;;-880
