FICHIER :;c:\Users\gebel\Documents\maxpid mesures.dyn;;;;;;
Date :;07/05/2019;;;;;;
Heure :;16:03:54;;;;;;
;;;;;;;
SOLLICITATION :;;;;;;;
MAXPID : Echelon de position de  60.0° (2671 pts), avec KP = 100, KI = 0 et KD = 0, Plan Vertical et 2 masses (1300g).;;;;;;;
;;;;;;;
MESURES :;;;;;;;
Index;Tps;CONSIGNE;POSITION;COMMANDE;VIT. AXE;Valeur avant A;Temps relatif
;ms;dégrés;degrés;Volts;rad/s;;
0;0;0;-0,6;2;0;2640;
1;10;0;-0,6;2;0;2640;
2;20;60;-0,7;21,1;-0,04;267080;0
3;30;60;-0,6;21,1;0,37;266640;10
4;40;60;-0,7;21,1;0,73;267080;20
5;50;60;0,2;21,1;1,04;263120;30
6;60;60;1,4;21,1;1,57;257840;40
7;70;60;2,8;21,1;1,95;251680;50
8;80;60;4,8;21,1;2,11;242880;60
9;90;60;6,8;21,1;2,48;234080;70
10;100;60;8,5;21,1;2,59;226600;80
11;110;60;10,7;21,1;2,9;216920;90
12;120;60;12,6;21,1;2,88;208560;100
13;130;60;14,8;21,1;3,18;198880;110
14;140;60;16,6;21,1;3,09;190960;120
15;150;60;19;21,1;3,32;180400;130
16;160;60;20,8;21,1;3,22;172480;140
17;170;60;23;21,1;3,38;162800;150
18;180;60;24,8;21,1;3,24;154880;160
19;190;60;27;21,1;3,44;145200;170
20;200;60;28,7;21,1;3,24;137720;180
21;210;60;30,9;21,1;3,42;128040;190
22;220;60;32,5;21,1;3,23;121000;200
23;230;60;34,7;21,1;3,29;111320;210
24;240;60;36,3;21,1;3,35;104280;220
25;250;60;38,2;21,1;3,2;95920;230
26;260;60;40,2;21,1;3,26;87120;240
27;270;60;41,9;21,1;3,14;79640;250
28;280;60;43,8;21,1;3,17;71280;260
29;290;60;45,4;21,1;3;64240;270
30;300;60;47,2;21,1;3,19;56320;280
31;310;60;48,6;21,1;2,97;50160;290
32;320;60;50,7;21,1;3,03;40920;300
33;330;60;52,1;21,1;2,96;34760;310
34;340;60;53,8;20,1;3,02;27280;
35;350;60;55,4;14,9;2,84;20240;
36;360;60;57,2;9;2,72;12320;
37;370;60;58,6;4,6;2,42;6160;
38;380;60;59,8;0,5;2,13;880;
39;390;60;60,6;-2,1;1,75;-2640;
40;400;60;61,2;-3,9;1,48;-5280;
41;410;60;61,4;-4,4;1,14;-6160;
42;420;60;61,5;-5;0,86;-6600;
43;430;60;61,5;-4,7;0,6;-6600;
44;440;60;61,3;-4,1;0,51;-5720;
45;450;60;61;-3,3;0,29;-4400;
46;460;60;61;-3,3;0,23;-4400;
47;470;60;60,7;-2,4;0,11;-3080;
48;480;60;60,6;-2,1;0,04;-2640;
49;490;60;60,5;-1,5;-0,03;-2200;
50;500;60;60,3;-0,9;-0,01;-1320;
51;510;60;60,1;-0,3;-0,05;-440;
52;520;60;60,1;-0,3;-0,03;-440;
53;530;60;60;0;-0,07;0;
54;540;60;60;0;0;0;
55;550;60;59,9;0,2;-0,06;440;
56;560;60;60;0;-0,03;0;
57;570;60;59,9;0,2;-0,03;440;
58;580;60;59,9;0,2;-0,02;440;
59;590;60;59,9;0,2;-0,02;440;
60;600;60;59,9;0,2;-0,01;440;
61;610;60;59,9;0,2;-0,01;440;
62;620;60;59,9;0,2;-0,01;440;
63;630;60;59,9;0,2;-0,05;440;
64;640;60;59,9;0,2;0,01;440;
65;650;60;59,8;0,5;0;880;
66;660;60;59,9;0,2;0;440;
67;670;60;59,9;0,2;0,04;440;
68;680;60;59,9;0,2;-0,06;440;
69;690;60;60;0;0,02;0;
70;700;60;59,8;0,5;-0,01;880;
71;710;60;59,9;0,2;0;440;
72;720;60;59,9;0,2;0;440;
73;730;60;59,9;0,2;0;440;
74;740;60;59,9;0,2;0;440;
75;750;60;59,9;0,2;0;440;
76;760;60;59,9;0,2;-0,04;440;
77;770;60;59,9;0,2;0,02;440;
78;780;60;59,8;0,5;0;880;
79;790;60;59,9;0,2;0;440;
80;800;60;59,9;0,2;0;440;
81;810;60;59,9;0,2;0;440;
82;820;60;59,9;0,2;0,04;440;
83;830;60;59,9;0,2;-0,02;440;
84;840;60;60;0;0;0;
85;850;60;59,9;0,2;0;440;
86;860;60;59,9;0,2;0;440;
87;870;60;59,9;0,2;-0,04;440;
88;880;60;59,9;0,2;0,02;440;
89;890;60;59,8;0,5;0;880;
90;900;60;59,9;0,2;0;440;
91;910;60;59,9;0,2;-0,04;440;
92;920;60;59,9;0,2;0,02;440;
93;930;60;59,8;0,5;0;880;
94;940;60;59,9;0,2;-0,03;440;
95;950;60;59,9;0,2;0,02;440;
96;960;60;59,8;0,5;0;880;
97;970;60;59,9;0,2;0,01;440;
98;980;60;59,9;0,2;0;440;
99;990;60;59,9;0,2;0;440;
100;1000;60;59,9;0,2;0;440;
